Taxonomy	ASE.V01.A	ASE.V01.B	ASE.V01.C	ASE.V02.A	ASE.V02.B	ASE.V02.C	ASE.V03.A	ASE.V03.B	ASE.V03.C	ASE.V04.A	ASE.V04.B	ASE.V04.C	PDC.V01.5	PDC.V01.6	PDC.V01.7	PDC.V02.5	PDC.V02.6	PDC.V02.7	PDC.V03.5	PDC.V03.6	PDC.V03.7	PDC.V04.5	PDC.V04.6	PDC.V04.7	Tax_detail
Firmicutes	1	0.999874490116097	0.999592092877314	0.426482585503608	0.232773768434264	0.0438813931597113	0.0379510511452777	0.546658299341073	0.974631314716034	0.911954816441795	0.885127078757452	0.52933793536241	0.00332601192343897	0.000156887354879197	0.000549105742077189	0.098839033573894	0.0602290555381236	0.16198619391277	0.000360840916222153	0	0.00202384687794164	0.231565735801694	0.00491057420771886	0.00657358016943834	k__Bacteria;p__Firmicutes;
Proteobacteria	0	0	3.13774709758394e-05	0.376357075619705	0.486413555067461	0.890712268591151	0.847646689676812	0.347270160025102	0.0138374647003452	0.0118449952933794	0.04336366488861	0.376608095387512	0.991120175713838	0.999105742077188	0.943646062127393	0.900674615625981	0.88092249764669	0.443944148101661	0.999450894257923	0.999968622529024	0.989582679636021	0.247552557263885	0.95279259491685	0.954549733291497	k__Bacteria;p__Proteobacteria;
Bacteroidota	0	9.41324129275181e-05	0.000141198619391277	0.00241606526513963	0.00411044869783495	0.011719485409476	0.0385629118293066	0.0264825855036084	0.00134923125196109	0.000721681832444305	9.4132412927518e-05	0.00889551302165045	0.000439284593661751	0	0	0.000345152180734233	0.0486507687480389	0.156244116724192	3.13774709758394e-05	0	0.00048635080012551	0.304879196736743	0	0.00376529651710072	k__Bacteria;p__Bacteroidota;
Deinococcota	0	0	0	0.139206149984311	0.233997489802322	0	0	0	0	0	0	0	0	0	0	0	0	0.000376529651710072	0	0	0	0	0	3.13774709758394e-05	k__Bacteria;p__Deinococcota;
Actinobacteriota	0	3.13774709758394e-05	9.41324129275181e-05	0.0422811421399435	0.0331189206149984	0.0477565108252275	0.056244116724192	0.0508158142453718	0.0101192343897082	0.0748980232193285	0.0711170379667399	0.0805302792594917	0.00155318481330405	3.13774709758394e-05	0.0558048321305303	1.56887354879197e-05	0.0101819893316599	0.0882648258550363	0.000109821148415438	3.13774709758394e-05	0.00768748038908064	0.0451521807342328	0.0416379039849388	0.0221211170379667	k__Bacteria;p__Actinobacteriota;
Acidobacteriota	0	0	0	0.00139629745842485	0.000658926890492626	0	0	0.00258864135550675	0	0	9.4132412927518e-05	0	0.000454973329149671	0	0	0	0	0.0145434577973015	0	0	0	0.0505961719485409	0.000407907122685912	0.0116567304675243	k__Bacteria;p__Acidobacteriota;
Planctomycetota	0	0	0	0.00505177282711014	0.00116096642610606	0	0	0.0113900219642297	0	0	0.000125509883903357	0	7.84436774395984e-05	0	0	0	0	0.0248195795418889	0	0	0	0	0	3.13774709758394e-05	k__Bacteria;p__Planctomycetota;
Cyanobacteria	0	0	0	0.00120803263256981	0.000815814245371823	0.00550674615625981	0.0189206149984311	0	0	0	0	0.0040633824913712	0.000156887354879197	9.4132412927518e-05	0	0	0	0.0190931910887982	0	0	0.000156887354879197	0	0	0.00050203953561343	k__Bacteria;p__Cyanobacteria;
Gemmatimonadota	0	0	0	0	0.000862880451835582	0	0	0.00241606526513963	0	0	6.27549419516787e-05	0	0.000549105742077189	0	0	0	0	0.0130687166614371	1.56887354879197e-05	0	0	0	0	1.56887354879197e-05	k__Bacteria;p__Gemmatimonadota;
Patescibacteria	0	0	0	0	0.000109821148415438	0	0	0	0	0	0	0	0	0	0	0	0	0.0102604330090995	0	0	0	0	0	9.4132412927518e-05	k__Bacteria;p__Patescibacteria;
