Taxonomy	ASE.V01.A	ASE.V01.B	ASE.V01.C	ASE.V02.A	ASE.V02.B	ASE.V02.C	ASE.V03.A	ASE.V03.B	ASE.V03.C	ASE.V04.A	ASE.V04.B	ASE.V04.C	PDC.V01.5	PDC.V01.6	PDC.V01.7	PDC.V02.5	PDC.V02.6	PDC.V02.7	PDC.V03.5	PDC.V03.6	PDC.V03.7	PDC.V04.5	PDC.V04.6	PDC.V04.7	Tax_detail
Streptococcus	0.999984311264512	0.999874490116097	0.999278318167556	0.137715720112959	0.0527612174458739	0.00688735487919674	0	0	4.7066206463759e-05	0.000658926890492626	0.000141198619391277	0.00657358016943834	0.000580483213053028	0	0	9.4132412927518e-05	0	0.0608409162221525	7.84436774395984e-05	0	9.4132412927518e-05	0	0.000266708503294634	0.00236899905867587	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;
Staphylococcus	0	0	6.27549419516787e-05	0.200517728271101	0.119595230624412	0.00922497646689677	0.0287260746783809	0.439912143081268	0.974427361154691	0.910448697834955	0.879385001568874	0.425494195167869	0	0	0	0	3.13774709758394e-05	0.00122372136805773	0.000125509883903357	0	0	3.13774709758394e-05	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;
Acinetobacter	0	0	0	0.00288672732977722	4.7066206463759e-05	0.0119391277063069	0.0214151239410104	0.00422026984625039	0.000251019767806715	0.000172576090367116	0	0.00680891120175714	0.767963602133668	0.778631942265453	0.935833071854409	0.801741449639159	0.84457169752118	0.0399435205522435	0.695654220269846	0.226670850329463	0.958942579228114	0.134562284279887	0.866018198933166	0.912990272983997	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;
Cupriavidus	0	0	1.56887354879197e-05	0.162864763100094	0.340492626294321	0.710244744273612	0.519391277063069	0.233903357389394	0.0123941010354565	0.00800125509883903	0.0159240665202385	0.0665516159397553	4.7066206463759e-05	0	0	0	0	0.000251019767806715	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;
Massilia	0	0	0	0.00440853467210543	0.000800125509883903	0	0	0.0120018826482585	0	0	0	0.00329463445246313	0	0	0	0	0	0.00131785378098525	0	0.626812048948854	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia;
Sphingobium	0	0	0	0.00807969877627863	0.000219642296830875	0.0134609350486351	0	0	7.84436774395984e-05	0	0	0	0.212833385629118	0.138923752745529	0	0.000376529651710072	0.000392218387197992	0.00251019767806715	0.244508942579228	0.0439755255726388	0	9.4132412927518e-05	0	4.7066206463759e-05	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;
Thermus	0	0	0	0.137700031377471	0.232899278318168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Deinococcota;c__Deinococci;o__Thermales;f__Thermaceae;g__Thermus;
Fictibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.231455914653279	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Fictibacillus;
Acetobacter	0	0	0	0.0238939441481017	0.0480232193285221	0.0634138688421713	0.142783181675557	0.0137747097583935	0	0	0.0259491684970191	0.214449325384374	0	0	0	3.13774709758394e-05	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acetobacter;
Dyadobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011139002196423	0	0	0	0.20980545967995	0	0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Dyadobacter;
