"Taxa","avg(ASE)","sd(ASE)","avg(PDC)","sd(PDC)","p.value","q.values","interval lower","interval upper","log2FoldChange","Combine ES"
"Firmicutes",0.632355402154586,0.379466330155045,0.0475434055015165,0.0775871042284385,0.000246206232822773,0.00746999158106223,-0.795002549419517,-0.369821181100303,3.73339040861036,0.888888888888889
"Proteobacteria",0.282840445560088,0.329569119311441,0.858609193598996,0.246278193150396,0.000383076491336525,0.00746999158106223,0.337910227748143,0.787166810480075,-1.60200976302525,-0.861111111111111
"Fusobacteriota",0,0,0.000687689572220479,0.00223286523043195,0.0788056024469581,0.538976007494356,0,0.00201730990482167,-9.42771002243143,-0.25
"Spirochaetota",0,0,0.000236638426942788,0.00075179417831144,0.0788056024469581,0.538976007494356,0,0.000675923020604539,-7.89262433347767,-0.25
"Desulfobacterota",3.92218387197992e-06,1.35868434857929e-05,0.000107206359167451,0.000332931577081834,0.154646194749839,0.538976007494356,-3.92218387197991e-06,0.000299393368894468,-4.45834292522471,-0.25
"Aquificota",7.97510720635916e-05,0.000271362630714859,0,0,0.166224591128354,0.538976007494356,-0.000236638426942788,0,6.33540950826124,0.166666666666667
"Crenarchaeota",0,0,6.27549419516782e-05,0.000198448550998955,0.166224591128354,0.538976007494356,0,0.000183035247359061,-5.99446527141324,-0.166666666666667
"Myxococcota",0.000563487082941115,0.00195197651412558,0.00017388348499111,0.000563225736444219,0.207632261894152,0.538976007494356,-0.00167477251333543,0.000351917947913397,1.69054651272032,-0.222222222222222
"Actinobacteriota",0.0389172157724087,0.0301378277107917,0.0227159815918837,0.028824932624577,0.25982143073621,0.538976007494356,-0.0382962033260119,0.0065451116515009,0.776674413955493,0.277777777777778
"Armatimonadota",0,0,4.18366279677858e-05,0.000144926330515124,0.359317338329571,0.538976007494356,0,0.000125509883903358,-5.42077301275276,-0.0833333333333333
"Dependentiae",0,0,6.53697311996653e-06,2.26447391429882e-05,0.359317338329571,0.538976007494356,0,1.96109193598996e-05,-2.9139852474234,-0.0833333333333333
"Elusimicrobiota",0,0,1.43813408639258e-05,4.98184261145721e-05,0.359317338329571,0.538976007494356,0,4.31440225917775e-05,-3.94310937019074,-0.0833333333333333
"FCPU426",2.09183139838925e-05,7.24631652575607e-05,0,0,0.359317338329571,0.538976007494356,-6.27549419516775e-05,0,4.4540649214418,0.0833333333333333
"Fibrobacterota",0,0,0.000105898964543458,0.000366844774116407,0.359317338329571,0.538976007494356,0,0.000317696893630373,-6.74010406850896,-0.0833333333333333
"Latescibacterota",0,0,1.43813408639258e-05,4.98184261145721e-05,0.359317338329571,0.538976007494356,0,4.31440225917775e-05,-3.94310937019074,-0.0833333333333333
"MBNT15",0,0,5.22957849597323e-06,1.81157913143905e-05,0.359317338329571,0.538976007494356,0,1.56887354879197e-05,-2.63913455131649,-0.0833333333333333
"Methylomirabilota",0,0,1.83035247359058e-05,6.34052696003652e-05,0.359317338329571,0.538976007494356,0,5.49105742077175e-05,-4.27079239599335,-0.0833333333333333
"Modulibacteria",0,0,2.09183139838925e-05,7.24631652575607e-05,0.359317338329571,0.538976007494356,0,6.27549419516775e-05,-4.4540649214418,-0.0833333333333333
"NB1-j",0,0,2.09183139838925e-05,7.24631652575607e-05,0.359317338329571,0.538976007494356,0,6.27549419516775e-05,-4.4540649214418,-0.0833333333333333
"Nanoarchaeota",0,0,6.01401527036917e-05,0.000208331600115489,0.359317338329571,0.538976007494356,0,0.000180420458111075,-5.93404825039297,-0.0833333333333333
"RCP2-54",0,0,1.04591569919458e-05,3.62315826287789e-05,0.359317338329571,0.538976007494356,0,3.13774709758375e-05,-3.51842900911535,-0.0833333333333333
"SAR324_clade(Marine_group_B)",0.00015035038175923,0.000520829000288727,0,0,0.359317338329571,0.538976007494356,-0.00045105114527769,0,7.24174850393224,0.0833333333333333
"Sva0485",0,0,3.92218387197992e-06,1.35868434857929e-05,0.359317338329571,0.538976007494356,0,1.17665516159397e-05,-2.29929855179014,-0.0833333333333333
"Synergistota",0,0,2.48404978558725e-05,8.60500087433539e-05,0.359317338329571,0.538976007494356,0,7.45214935676175e-05,-4.69156196086654,-0.0833333333333333
"Thermoplasmatota",0,0,1.04591569919458e-05,3.62315826287789e-05,0.359317338329571,0.538976007494356,0,3.13774709758375e-05,-3.51842900911535,-0.0833333333333333
"Zixibacteria",0,0,3.92218387197992e-06,1.35868434857929e-05,0.359317338329571,0.538976007494356,0,1.17665516159397e-05,-2.29929855179014,-0.0833333333333333
"Bacteroidota",0.00788228218805564,0.0123746426665043,0.0429034619809643,0.0942225066698289,0.43372464542623,0.626491154504554,-0.00663757713628282,0.0913898585399017,-2.44425937008261,0.194444444444444
"Acidobacteriota",0.000394833176445978,0.000810333117323997,0.00647160338876686,0.0147868422150902,0.528303708142272,0.727042211334796,-8.00125509883893e-05,0.0151702554649095,-4.03138166398033,-0.138888888888889
"Campylobacterota",4.44514172157724e-05,0.000131232963866793,1.04591569919458e-05,3.62315826287789e-05,0.580669526385976,0.727042211334796,-0.000120280305407384,2.09183139838917e-05,1.9878243654123,0.0833333333333333
"Patescibacteria",9.1517623679525e-06,3.17026348001812e-05,0.000862880451835585,0.00295958526510146,0.580669526385976,0.727042211334796,-1.8303524735905e-05,0.00257295262001883,-6.41102956948292,-0.0833333333333333
"Planctomycetota",0.00147735592511244,0.00344338151006309,0.00207745005752536,0.00716195175083529,0.589836465027946,0.727042211334796,-0.00294435074782973,0.00548690644284069,-0.491514431483234,0.111111111111111
"Others",0.000664156468988687,0.00104089513950656,0.0132504445141724,0.0352491266023186,0.596547455454192,0.727042211334796,-0.00066422183871983,0.0352881824599941,-4.31631206852974,0.131944444444444
"Cyanobacteria",0.00254288254366698,0.00547186920508548,0.00166692814559146,0.0054897945360899,0.651731752575814,0.770228434862326,-0.00526245947076665,0.00351721838719798,0.608974921174327,0.104166666666667
"Verrucomicrobiota",0.000175190879615102,0.000526697886897631,0.000198723982846981,0.000508959661097864,0.719218709732992,0.824986167046668,-0.000354532737161386,0.000436669804413763,-0.180868335744514,-0.0763888888888889
"Chloroflexi",0.00028501202803054,0.000928756597537721,0.000681152599100513,0.00232019235316572,0.773651005830351,0.862068263639534,-0.000581921347139418,0.00201469511557369,-1.25401868975777,0.0625
"Gemmatimonadota",0.000278475054910574,0.000717019839197075,0.00113743332287418,0.0037606613272128,0.801309894374264,0.868085718905453,-0.000537404560192451,0.00319530514590524,-2.02625837308192,-0.0555555555555555
"Deinococcota",0.0311003033155527,0.0753937729713497,3.39922602238258e-05,0.00010824779621534,0.893912783100154,0.942232392997459,-0.0737985697102813,6.27549419516783e-05,9.79572346883623,0.0277777777777778
