求和项:V_cum_eta_mL,列标签,,,,,,,,,,,,,,,,,,AV,Min,Max,STD
行标签,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,(空白),总计,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,
1,0.090734347,0.094247706,0.076573974,0.081427491,0.069674112,0.136547393,0.090964245,0.084956868,0.138054079,0.06354647,0.047338651,0.062343693,0.083041768,0.085907749,0.165482775,,1.370841319,,0.091389421,0.047338651,0.165482775,
2,0.1572795,0.180839071,0.205635476,0.185766722,0.187081154,0.276535177,0.247970913,0.207542946,0.252183965,0.183477274,0.111209118,0.214990889,0.11789308,0.151481049,0.240061711,,2.919948044,,0.194663203,0.111209118,0.276535177,
3,0.273894105,0.354481384,0.370879511,0.226484202,0.247125326,0.414272605,0.363880059,0.316991886,0.295046223,0.343141785,0.220330491,0.372610336,0.225803776,0.213730269,0.293118046,,4.531790005,,0.302119334,0.213730269,0.414272605,
4,0.444027287,0.522705346,0.572142584,0.30551562,0.397841415,0.548139408,0.472862651,0.392128792,0.382688283,0.463095785,0.286496952,0.498874605,0.269699132,0.380368063,0.422188705,,6.358774627,,0.423918309,0.269699132,0.572142584,
5,0.605875623,0.578449677,0.639737637,0.396338191,0.488710968,0.603537945,0.640676878,0.564718208,0.556075424,0.586594347,0.388407769,0.625980245,0.363019495,0.430977014,0.573138172,,8.042237594,,0.536149173,0.363019495,0.640676878,
6,0.713185393,0.626249072,0.709843644,0.586611262,0.616460982,0.693598058,0.813854524,0.765495079,0.740290568,0.689350894,0.428390718,0.824434086,0.407025084,0.474662136,0.641051686,,9.730503186,,0.648700212,0.407025084,0.824434086,
7,0.839140798,0.779514529,0.843483016,0.644268179,0.693379983,0.733448983,0.897432066,0.844073955,0.843993341,0.800386288,0.551440448,0.954928356,0.599174139,0.676063898,0.737458765,,11.43818674,,0.762545783,0.551440448,0.954928356,
8,0.963515451,0.902333039,0.964724247,0.740516768,0.829947592,0.820465664,0.957336573,0.929737167,0.881671711,0.975051663,0.694830084,1.127706324,0.741488785,0.784742299,0.811061591,,13.12512896,,0.875008597,0.694830084,1.127706324,
9,1.094542829,0.995829131,1.099403168,0.905761571,0.996725842,0.862094755,1.060999435,1.129320606,0.947425543,1.134231428,0.780277724,1.320352522,0.83036498,0.915586772,0.880049476,,14.95296578,,0.996864385,0.780277724,1.320352522,
10,1.21881892,1.138184964,1.206391016,1.019173118,1.222788221,0.967501965,1.150296291,1.237703503,1.059244694,1.191041547,0.976052912,1.373707853,0.989038888,0.997536997,0.992855022,,16.74033591,,1.116022394,0.967501965,1.373707853,
11,1.304683572,1.176697915,1.266717866,1.075785126,1.397471934,1.06716087,1.225271998,1.320932981,1.216102833,1.229288128,1.076527276,1.457274247,1.153159074,1.16053319,1.159309851,,18.28691686,,1.219127791,1.06716087,1.457274247,
12,1.426087605,1.265983117,1.376778963,1.176102077,1.440842481,1.127895852,1.38378696,1.411586091,1.301054242,1.316290334,1.156063275,1.512591105,1.251362487,1.359332283,1.333127589,,19.83888446,,1.322592297,1.127895852,1.512591105,
13,1.591238518,1.429252313,1.475291115,1.3574883,1.656711793,1.324051801,1.493068585,1.46192738,1.363996783,1.403144778,1.264149295,1.607967362,1.334697542,1.499402973,1.391508132,,21.65389667,,1.443593111,1.264149295,1.656711793,
14,1.708250346,1.56517077,1.552947104,1.406637169,1.820844623,1.511874708,1.606850273,1.598464175,1.459156086,1.492823009,1.355985754,1.723016937,1.467780119,1.648055942,1.598249686,,23.5161067,,1.567740447,1.355985754,1.820844623,
15,1.76991867,1.6384421,1.7218347,1.513960523,1.878421069,1.587452986,1.691226254,1.640008285,1.607733307,1.561725582,1.414891554,1.773512902,1.598566164,1.805585452,1.66076611,,24.86404566,,1.657603044,1.414891554,1.878421069,
16,1.850684516,1.684466376,1.878778961,1.681730083,1.992412659,1.658098904,1.727043408,1.771660784,1.768355664,1.650238134,1.616483683,1.878324715,1.754331033,1.976798075,1.86205298,,26.75145997,,1.783430665,1.616483683,1.992412659,
17,1.967013048,1.731480422,1.944230295,1.761430529,2.079529627,1.771576713,1.841356659,1.816415078,1.868356753,1.763560385,1.693932876,2.055986174,1.842263648,2.057493414,2.078633684,,28.2732593,,1.884883954,1.693932876,2.079529627,
18,2.017870409,1.840249828,2.065803445,1.857059695,2.173573102,1.836770658,2.015749206,1.949687171,1.964790727,1.859053807,1.80195177,2.178738779,1.962475095,2.151091472,2.245647123,,29.92051229,,1.994700819,1.80195177,2.245647123,
19,2.071170212,1.983603046,2.135304826,1.955503001,2.241631532,2.013434376,2.109773455,2.010338625,2.080558823,1.967360572,1.997593171,2.277741401,2.047181404,2.296990553,2.363580303,,31.5517653,,2.10345102,1.955503001,2.363580303,
20,2.287790425,2.035518217,2.239385628,2.016106827,2.35063535,2.184694,2.240786236,2.063871002,2.248333259,2.112192456,2.048590797,2.376253979,2.135664849,2.420721358,2.513380992,,33.27392538,,2.218261692,2.016106827,2.513380992,
21,2.490108638,2.253099604,2.388446969,2.132161164,2.473225496,2.240356207,2.409122376,2.172229571,2.459253304,2.209077219,2.172642846,2.493633062,2.21510236,2.577954459,2.642582591,,35.32899587,,2.355266391,2.132161164,2.642582591,
22,2.569542597,2.313842114,2.493178334,2.247525705,2.624815209,2.414026227,2.505612077,2.248105084,2.601357078,2.284767548,2.224202881,2.620852403,2.309615971,2.717213353,2.692364728,,36.86702131,,2.457801421,2.224202881,2.717213353,
23,2.672768933,2.486101461,2.653919198,2.332707016,2.783427105,2.495691061,2.572459067,2.403807926,2.655927082,2.470792549,2.333962944,2.668919444,2.386530985,2.855321873,2.804541157,,38.5768778,,2.571791853,2.332707016,2.855321873,
24,2.759513926,2.589238867,2.723763868,2.445953128,2.857195764,2.629961351,2.6504222,2.535844462,2.726743135,2.610288987,2.375435179,2.756093873,2.426190669,3.017010805,2.955716062,,40.05937228,,2.670624818,2.375435179,3.017010805,
25,2.918946638,2.638938873,2.798579589,2.507559783,2.988253229,2.767220189,2.7906806,2.602339449,2.861754946,2.713711647,2.447321494,2.821033069,2.478561639,3.146824942,3.082169237,,41.56389532,,2.770926355,2.447321494,3.146824942,
26,3.002033167,2.732335533,2.862810677,2.638380601,3.131720097,2.905185023,2.907619795,2.66153075,3.065173656,2.900866908,2.545058621,2.995223137,2.628973626,3.276155446,3.188048257,,43.44111529,,2.896074353,2.545058621,3.276155446,
27,3.161496352,2.856941719,2.983077981,2.681422335,3.219307312,2.994330199,3.015096971,2.872478039,3.165741938,2.966742058,2.636564941,3.088216035,2.799394444,3.331756137,3.349210684,,45.12177714,,3.008118476,2.636564941,3.349210684,
28,3.205569712,2.99024175,3.107351236,2.832375349,3.329029519,3.116648363,3.209353095,3.027286659,3.23352438,3.046550645,2.818550686,3.267623997,2.906742527,3.376422502,3.508789254,,46.97605967,,3.131737312,2.818550686,3.508789254,
29,3.393190098,3.074805064,3.240695597,3.014065266,3.41247586,3.19511122,3.281683232,3.136383754,3.366091501,3.237787869,2.935315134,3.34181178,3.021904232,3.525207018,3.557815387,,48.73434301,,3.248956201,2.935315134,3.557815387,
30,3.510037894,3.277837989,3.341790401,3.161082703,3.557520294,3.252707541,3.358618708,3.17655531,3.502536113,3.369791987,3.001921072,3.42310742,3.11678673,3.582443641,3.703744907,,50.33648271,,,,,
(空白),,,,,,,,,,,,,,,,,,,,,,
总计,54.07892953,49.737081,52.93950103,46.8868995,55.15877965,50.1503902,52.73185479,50.35412158,52.61321544,50.59597208,45.40192012,55.69385073,47.46383373,54.89337114,55.44770466,,774.1474252,,,,,
