"time_min","mean_mL","sd_mL","q025","q975"
0,0,0,0,0
1,0.116058222091747,0.0417947753552604,0.0556929688064451,0.178658639277584
2,0.204719663445673,0.0469250797482422,0.120754710719668,0.273807363961022
3,0.309852294328701,0.0507289383784248,0.221189856481223,0.381198633616283
4,0.42484265012248,0.0802707782550162,0.285564646020057,0.56083219226333
5,0.54323489796208,0.0769143630350954,0.41278239577622,0.679250743761714
6,0.680666142488466,0.0888808730679016,0.520620890796942,0.83997390781439
7,0.771618099486961,0.0930036652040908,0.602831019606345,0.937398053604051
8,0.896408785673482,0.0810722905464094,0.754385075268965,1.00727866570773
9,1.01057433685323,0.116830536625634,0.848896230221412,1.17576186642891
10,1.1200543177473,0.118111877641289,0.938074176278934,1.28716683336547
11,1.21492440347514,0.11580142874295,1.06371325248882,1.36404444851546
12,1.33396128936544,0.137046377647002,1.15884267813375,1.51805996432891
13,1.43332848852798,0.132120062249724,1.26858709570109,1.62214579688836
14,1.53738788125032,0.176039952704646,1.31262480855668,1.77177044622314
15,1.64755478697746,0.173127431372522,1.40812452455663,1.88994725037152
16,1.76839544234721,0.167282716090828,1.5202011597459,1.99852959209859
17,1.87033980819901,0.174696242147404,1.60857948639248,2.11917146214482
18,1.97264522166989,0.171427524572233,1.70063478591287,2.20144459793632
19,2.09305433437474,0.175721188859332,1.84384330335625,2.36292069114588
20,2.20616004457003,0.173318742815242,1.93521504336259,2.44383678513964
21,2.3254894087452,0.184489273457302,2.03311371723106,2.58946240526487
22,2.43816173589036,0.193541843507501,2.12126328398784,2.70111814425789
23,2.55371642662706,0.199160460905226,2.19968060837902,2.7830054063528
24,2.65729710426414,0.185008418818363,2.33706047259875,2.89246714205868
25,2.76624608891573,0.205255442193831,2.39635757651822,3.02756356676471
26,2.88828785691605,0.226950870195948,2.50074679566445,3.21649162596911
27,3.00075769624119,0.220196999093478,2.58791726346012,3.2906714864054
28,3.08920515590386,0.20779639669621,2.71251077879117,3.36989075027838
29,3.19736051570919,0.215165613656861,2.79678033454661,3.48957507976894
30,3.3098825575395,0.203263119579045,2.92892895202273,3.58860435983579
